name,TP,FP,FN,precision,recall,mse
mtcnn_all/Karin_Viard_1,1.0,0.0127,0.0,0.9937,1.0,104.6076
mtcnn_all/Karin_Viard_3,1.0,0.0,0.0,1.0,1.0,5.0238
mtcnn_all/Katalin_Kollat_2,1.0,0.0,0.0,1.0,1.0,7.1912
mtcnn_all/Katalin_Kollat_4,1.0,0.0,0.0,1.0,1.0,12.6939
mtcnn_all/Kate_Capshaw_1,1.0,0.0,0.0,1.0,1.0,5.1686
mtcnn_all/Kate_Capshaw_2,0.7059,0.0,0.2941,0.7059,0.7059,5.1275
mtcnn_all/Kate_Capshaw_4,0.2326,0.7209,0.7674,0.2326,0.2326,8.7297
mtcnn_all/Kate_Winslet_0,1.0,0.0,0.0,1.0,1.0,11.6184
mtcnn_all/Kate_Winslet_1,1.0,0.0,0.0,1.0,1.0,4.3906
mtcnn_all/Kate_Winslet_5,0.8458,0.1542,0.1542,0.8458,0.8458,4.1562
mtcnn_all/Katharine_Hepburn_1,0.9158,0.0,0.0842,0.9158,0.9158,2.1539
mtcnn_all/Katharine_Hepburn_3,0.9815,0.0,0.0185,0.9815,0.9815,5.7049
mtcnn_all/Katharine_Hepburn_4,0.8837,0.0,0.1163,0.8837,0.8837,5.1657
mtcnn_all/Kathryn_Morris_1,1.0,0.0,0.0,1.0,1.0,3.6311
mtcnn_all/Kathryn_Morris_2,1.0,0.0,0.0,1.0,1.0,2.6156
mtcnn_all/Kathryn_Morris_4,0.9388,0.0612,0.0612,0.9388,0.9388,2.1556
mtcnn_all/Kathryn_Morris_5,1.0,0.0,0.0,1.0,1.0,10.9041
mtcnn_all/Katja_Riemann_0,0.3137,0.0,0.6863,0.3137,0.3137,4.7157
mtcnn_all/Katja_Riemann_1,1.0,0.0,0.0,1.0,1.0,7.1131
mtcnn_all/Katja_Riemann_2,0.0404,0.0,0.9596,0.0404,0.0404,0.4331
mtcnn_all/Keira_Knightley_1,0.9216,0.0784,0.0784,0.9216,0.9216,20.4289
mtcnn_all/Keira_Knightley_3,1.0,0.0,0.0,1.0,1.0,10.5901
mtcnn_all/Keith_Olbermann_0,1.0,0.0,0.0,1.0,1.0,12.188
mtcnn_all/Keith_Olbermann_1,1.0,0.0,0.0,1.0,1.0,13.8521
mtcnn_all/Keith_Olbermann_2,1.0,0.0,0.0,1.0,1.0,12.3854
mtcnn_all/Keith_Olbermann_5,1.0,0.2598,0.0,0.8753,1.0,1067.0889
mtcnn_all/Keith_Tyson_0,1.0,0.0,0.0,1.0,1.0,8.8631
mtcnn_all/Keith_Tyson_1,1.0,0.0,0.0,1.0,1.0,6.9888
mtcnn_all/Keith_Tyson_2,1.0,0.0,0.0,1.0,1.0,7.4697
mtcnn_all/Kelsey_Grammer_1,0.9302,0.0,0.0698,0.9302,0.9302,5.7122
mtcnn_all/Kelsey_Grammer_4,1.0,0.0,0.0,1.0,1.0,9.4484
mtcnn_all/Kemal_Dervis_0,1.0,0.0125,0.0,0.9938,1.0,58.1661
mtcnn_all/Kemal_Dervis_1,0.4167,0.0,0.5833,0.4167,0.4167,3.9562
mtcnn_all/Kemal_Dervis_3,1.0,0.0,0.0,1.0,1.0,5.0106
mtcnn_all/Kenneth_Branagh_3,0.9231,0.0769,0.0769,0.9231,0.9231,8.2072
mtcnn_all/Kenneth_Branagh_5,0.9583,0.0,0.0417,0.9583,0.9583,4.4484
mtcnn_all/Kenneth_Carlsen_3,0.0145,0.0,0.9855,0.0145,0.0145,0.0562
mtcnn_all/Kenneth_Carlsen_4,1.0,0.0,0.0,1.0,1.0,7.3769
mtcnn_all/Kenneth_Reichert_2,0.5156,0.0,0.4844,0.5156,0.5156,4.6074
mtcnn_all/Kenneth_Reichert_3,0.5424,0.1356,0.4576,0.5424,0.5424,127.2945
mtcnn_all/Kevin_Borseth_0,1.0,0.0,0.0,1.0,1.0,5.2551
