name,TP,FP,FN,precision,recall,mse
mtcnn/Kieran_Culkin_0/original,1.0,0.0,0.0,1.0,1.0,10.5464
mtcnn/Kieran_Culkin_0/medium,1.0,0.0,0.0,1.0,1.0,5.025
mtcnn/Kieran_Culkin_0/severe,1.0,0.0071,0.0,0.9964,1.0,86.325
mtcnn/Liu_Ye_2/original,1.0,0.0,0.0,1.0,1.0,7.1325
mtcnn/Liu_Ye_2/medium,1.0,0.0,0.0,1.0,1.0,7.5464
mtcnn/Liu_Ye_2/severe,1.0,0.0,0.0,1.0,1.0,11.2583
mtcnn/Maggie_Smith_3/original,1.0,0.0,0.0,1.0,1.0,8.8594
mtcnn/Maggie_Smith_3/medium,0.8929,0.0,0.1071,0.8929,0.8929,19.692
mtcnn/Maggie_Smith_3/severe,1.0,0.0,0.0,1.0,1.0,10.1451
mtcnn/Margaret_Thatcher_5/original,1.0,0.0,0.0,1.0,1.0,9.945
mtcnn/Margaret_Thatcher_5/medium,0.76,0.0,0.24,0.76,0.76,10.6583
mtcnn/Margaret_Thatcher_5/severe,0.84,0.0133,0.16,0.8333,0.84,66.2833
mtcnn/Marisa_Tomei_1/original,1.0,0.0,0.0,1.0,1.0,6.0833
mtcnn/Marisa_Tomei_1/medium,1.0,0.0,0.0,1.0,1.0,5.2412
mtcnn/Marisa_Tomei_1/severe,0.9883,0.0,0.0117,0.9883,0.9883,9.3297
mtcnn/Martin_Sheen_3/original,1.0,0.0,0.0,1.0,1.0,7.3873
mtcnn/Martin_Sheen_3/medium,1.0,0.0,0.0,1.0,1.0,11.5245
mtcnn/Martin_Sheen_3/severe,0.8235,0.0,0.1765,0.8235,0.8235,22.826
mtcnn/Martin_Sheen_5/original,1.0,0.0,0.0,1.0,1.0,23.3824
mtcnn/Martin_Sheen_5/medium,1.0,0.0,0.0,1.0,1.0,16.875
mtcnn/Martin_Sheen_5/severe,0.9926,0.0444,0.0074,0.9704,0.9926,469.1111
mtcnn/Matt_Anderson_2/original,0.4068,0.2373,0.5932,0.4068,0.4068,18.2585
mtcnn/Matt_Anderson_2/medium,0.4237,0.0339,0.5763,0.4237,0.4237,16.2013
mtcnn/Matt_Anderson_2/severe,0.2542,0.1695,0.7458,0.2542,0.2542,26.3305
mtcnn/Natalie_Stewart_2/original,0.7557,0.0687,0.2443,0.7557,0.7557,1.9895
mtcnn/Natalie_Stewart_2/medium,0.5267,0.0687,0.4733,0.5229,0.5267,68.1126
mtcnn/Natalie_Stewart_2/severe,0.0382,0.2595,0.9618,0.0305,0.0382,647.2824
mtcnn/Oscar_Elias_Biscet_0/original,1.0,0.0,0.0,1.0,1.0,4.5452
mtcnn/Oscar_Elias_Biscet_0/medium,1.0,0.0,0.0,1.0,1.0,5.1175
mtcnn/Oscar_Elias_Biscet_0/severe,1.0,0.0,0.0,1.0,1.0,6.9849
