name,TP,FP,FN,precision,recall
viola_all/Karin_Viard_1,1.0,0.0253,0.0,0.9873,1.0
viola_all/Karin_Viard_3,1.0,0.0,0.0,1.0,1.0
viola_all/Katalin_Kollat_2,1.0,0.0,0.0,1.0,1.0
viola_all/Katalin_Kollat_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kate_Capshaw_1,1.0,0.0,0.0,1.0,1.0
viola_all/Kate_Capshaw_2,1.0,0.0,0.0,1.0,1.0
viola_all/Kate_Capshaw_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kate_Winslet_0,1.0,0.1579,0.0,0.9211,1.0
viola_all/Kate_Winslet_1,1.0,0.0,0.0,1.0,1.0
viola_all/Kate_Winslet_5,1.0,0.0792,0.0,0.9618,1.0
viola_all/Katharine_Hepburn_1,0.9263,0.0,0.0737,0.9263,0.9263
viola_all/Katharine_Hepburn_3,0.9444,0.0,0.0556,0.9444,0.9444
viola_all/Katharine_Hepburn_4,0.9767,0.0,0.0233,0.9767,0.9767
viola_all/Kathryn_Morris_1,1.0,0.0,0.0,1.0,1.0
viola_all/Kathryn_Morris_2,1.0,0.0042,0.0,0.9979,1.0
viola_all/Kathryn_Morris_4,1.0,0.0612,0.0,0.9694,1.0
viola_all/Kathryn_Morris_5,1.0,0.0,0.0,1.0,1.0
viola_all/Katja_Riemann_0,1.0,0.0588,0.0,0.9706,1.0
viola_all/Katja_Riemann_1,1.0,0.5333,0.0,0.7365,1.0
viola_all/Katja_Riemann_2,1.0,0.0101,0.0,0.9949,1.0
viola_all/Keira_Knightley_1,1.0,0.0588,0.0,0.9706,1.0
viola_all/Keira_Knightley_3,1.0,0.0,0.0,1.0,1.0
viola_all/Keith_Olbermann_0,1.0,0.1792,0.0,0.9118,1.0
viola_all/Keith_Olbermann_1,1.0,0.7417,0.0,0.6292,1.0
viola_all/Keith_Olbermann_2,1.0,0.0,0.0,1.0,1.0
viola_all/Keith_Olbermann_5,1.0,0.7087,0.0,0.6929,1.0
viola_all/Keith_Tyson_0,1.0,0.0,0.0,1.0,1.0
viola_all/Keith_Tyson_1,1.0,0.0625,0.0,0.9688,1.0
viola_all/Keith_Tyson_2,1.0,0.0,0.0,1.0,1.0
viola_all/Kelsey_Grammer_1,1.0,0.0,0.0,1.0,1.0
viola_all/Kelsey_Grammer_4,1.0,0.0174,0.0,0.9913,1.0
