name,TP,FP,FN,precision,recall
viola_best/Kieran_Culkin_0/original,1.0,0.0,0.0,1.0,1.0
viola_best/Kieran_Culkin_0/medium,1.0,0.0,0.0,1.0,1.0
viola_best/Kieran_Culkin_0/severe,1.0,0.0,0.0,1.0,1.0
viola_best/Liu_Ye_2/original,1.0,0.0,0.0,1.0,1.0
viola_best/Liu_Ye_2/medium,1.0,0.0,0.0,1.0,1.0
viola_best/Liu_Ye_2/severe,1.0,0.0,0.0,1.0,1.0
viola_best/Maggie_Smith_3/original,1.0,0.0357,0.0,0.9821,1.0
viola_best/Maggie_Smith_3/medium,0.875,0.0714,0.125,0.8661,0.875
viola_best/Maggie_Smith_3/severe,0.8929,0.1071,0.1071,0.8661,0.8929
viola_best/Margaret_Thatcher_5/original,0.9333,0.0,0.0667,0.9333,0.9333
viola_best/Margaret_Thatcher_5/medium,0.4,0.0,0.6,0.4,0.4
viola_best/Margaret_Thatcher_5/severe,0.7333,0.1067,0.2667,0.6933,0.7333
viola_best/Marisa_Tomei_1/original,1.0,0.2339,0.0,0.883,1.0
viola_best/Marisa_Tomei_1/medium,1.0,0.117,0.0,0.9415,1.0
viola_best/Marisa_Tomei_1/severe,1.0,0.2164,0.0,0.8918,1.0
viola_best/Martin_Sheen_3/original,1.0,0.0,0.0,1.0,1.0
viola_best/Martin_Sheen_3/medium,1.0,0.0,0.0,1.0,1.0
viola_best/Martin_Sheen_3/severe,0.902,0.0,0.098,0.902,0.902
viola_best/Martin_Sheen_5/original,1.0,0.0519,0.0,0.9741,1.0
viola_best/Martin_Sheen_5/medium,1.0,0.0296,0.0,0.9852,1.0
viola_best/Martin_Sheen_5/severe,1.0,0.3407,0.0,0.8444,1.0
viola_best/Matt_Anderson_2/original,1.0,0.0,0.0,1.0,1.0
viola_best/Matt_Anderson_2/medium,1.0,0.0,0.0,1.0,1.0
viola_best/Matt_Anderson_2/severe,1.0,0.0,0.0,1.0,1.0
viola_best/Natalie_Stewart_2/original,1.0,0.0534,0.0,0.9733,1.0
viola_best/Natalie_Stewart_2/medium,1.0,0.084,0.0,0.958,1.0
viola_best/Natalie_Stewart_2/severe,0.8473,0.0534,0.1527,0.8206,0.8473
viola_best/Oscar_Elias_Biscet_0/original,1.0,0.0,0.0,1.0,1.0
viola_best/Oscar_Elias_Biscet_0/medium,1.0,0.0,0.0,1.0,1.0
viola_best/Oscar_Elias_Biscet_0/severe,1.0,0.0,0.0,1.0,1.0
